step,gaussian_count,loss,psnr,gpu_memory
0,209587.0,0.2155221551656723,13.906949043273926,3523.23583984375
50,209587.0,0.2109709531068802,12.437233924865723,4650.9560546875
100,209587.0,0.2162323296070099,14.774336814880371,4650.9560546875
150,209587.0,0.1994236558675766,15.623482704162598,4650.9560546875
200,209587.0,0.1923617124557495,15.99489974975586,4650.9560546875
250,209587.0,0.10453245043754578,17.16024398803711,4650.9560546875
300,209587.0,0.17843180894851685,15.893119812011719,4650.9560546875
350,209587.0,0.0943014919757843,19.283845901489258,4650.9560546875
400,209587.0,0.1127590462565422,19.460750579833984,4650.9560546875
450,209587.0,0.12866854667663574,18.527217864990234,4650.9560546875
500,209587.0,0.12797404825687408,16.687162399291992,4650.9560546875
550,209587.0,0.10052923113107681,13.624530792236328,4650.9560546875
600,209587.0,0.15179872512817383,17.8259334564209,4650.9560546875
650,209587.0,0.10055989772081375,19.05495834350586,4650.9560546875
700,209587.0,0.11984357237815857,19.36920166015625,4650.9560546875
750,209587.0,0.08574631065130234,20.278995513916016,4650.9560546875
800,209587.0,0.10068893432617188,20.353246688842773,4650.9560546875
850,209587.0,0.1299789696931839,18.730030059814453,4650.9560546875
900,209587.0,0.09878197312355042,20.883071899414062,4650.9560546875
950,209587.0,0.06478600203990936,21.40978240966797,4650.9560546875
1000,209587.0,0.04338391125202179,18.525041580200195,4650.9560546875
1050,209587.0,0.09262563288211823,21.549095153808594,4650.9560546875
1100,209587.0,0.10881424695253372,21.0408935546875,4650.9560546875
1150,209587.0,0.06917272508144379,18.525367736816406,4650.9560546875
1200,209587.0,0.07268932461738586,19.835187911987305,4650.9560546875
1250,209587.0,0.10829968005418777,18.29890251159668,4650.9560546875
1300,209587.0,0.07241172343492508,23.027894973754883,4650.9560546875
1350,209587.0,0.07551229745149612,23.174785614013672,4650.9560546875
1400,209587.0,0.11952100694179535,19.774065017700195,4650.9560546875
1450,209587.0,0.11613298952579498,19.995656967163086,4650.9560546875
1500,209587.0,0.09654151648283005,21.511280059814453,4650.9560546875
1550,209587.0,0.06976824998855591,17.183792114257812,4650.9560546875
1600,209587.0,0.09151500463485718,21.78753089904785,4650.9560546875
1650,209587.0,0.09346110373735428,21.63786506652832,4650.9560546875
1700,209587.0,0.08848081529140472,21.104520797729492,4650.9560546875
1750,209587.0,0.1325605809688568,19.267318725585938,4650.9560546875
1800,209587.0,0.07429634034633636,20.69742774963379,4650.9560546875
1850,209587.0,0.09846653789281845,20.378067016601562,4650.9560546875
1900,209587.0,0.09977274388074875,21.221677780151367,4650.9560546875
1950,209587.0,0.05751156806945801,17.108383178710938,4650.9560546875
2000,209587.0,0.11678700894117355,17.46871566772461,4650.9560546875
2050,209587.0,0.09748239815235138,20.251577377319336,4650.9560546875
2100,209587.0,0.10010697692632675,21.3615665435791,4650.9560546875
2150,209587.0,0.05882210284471512,22.316020965576172,4650.9560546875
2200,209587.0,0.06407321244478226,22.84490203857422,4650.9560546875
2250,209587.0,0.04534668102860451,23.562458038330078,4650.9560546875
2300,209587.0,0.10749003291130066,18.91490936279297,4651.0703125
2350,209587.0,0.0773601084947586,22.59494400024414,4651.0703125
2400,209587.0,0.07428217679262161,22.947423934936523,4651.0703125
2450,209587.0,0.08287923038005829,21.800884246826172,4651.0703125
2500,209587.0,0.06564345210790634,17.924962997436523,4651.0703125
2550,209587.0,0.10626647621393204,20.734668731689453,4651.0703125
2600,209587.0,0.09334677457809448,20.589719772338867,4651.0703125
2650,209587.0,0.1018543466925621,21.84811019897461,4651.0703125
2700,209587.0,0.053798608481884,24.825580596923828,4651.0703125
2750,209587.0,0.06805162876844406,24.05234718322754,4651.0703125
2800,209587.0,0.10678310692310333,19.58894920349121,4651.0703125
2850,209587.0,0.10116270929574966,19.61138916015625,4651.0703125
2900,209587.0,0.05311887338757515,18.491430282592773,4651.0703125
2950,209587.0,0.05573596805334091,21.708837509155273,4651.0703125
3000,209587.0,0.07146620750427246,20.657238006591797,4737.74951171875
3050,209587.0,0.09018637984991074,19.613929748535156,4745.61083984375
3100,209587.0,0.08647245913743973,21.555797576904297,4746.34130859375
3150,209587.0,0.0962422639131546,20.828622817993164,4746.34130859375
3200,209587.0,0.04836617410182953,17.718090057373047,4746.34130859375
3250,209587.0,0.09801033139228821,20.65454864501953,4746.34130859375
3300,209587.0,0.05067984387278557,18.000389099121094,4746.34130859375
3350,209587.0,0.08615878969430923,19.978750228881836,4746.34130859375
3400,209587.0,0.06966675072908401,18.554027557373047,4747.052734375
3450,209587.0,0.07903284579515457,21.807409286499023,4747.052734375
3500,209587.0,0.13371725380420685,17.730531692504883,4747.052734375
3550,209587.0,0.06905914843082428,22.678386688232422,4747.052734375
3600,209587.0,0.05842795968055725,19.237356185913086,4747.18115234375
3650,209587.0,0.06892862915992737,23.55534553527832,4747.18115234375
3700,209587.0,0.1060243546962738,19.8305721282959,4747.18115234375
3750,209587.0,0.06850451231002808,21.833070755004883,4747.18115234375
3800,209587.0,0.059139326214790344,18.45547866821289,4747.18115234375
3850,209587.0,0.06061379611492157,22.00865936279297,4747.18115234375
3900,209587.0,0.08147449791431427,21.17861557006836,4747.18115234375
3950,209587.0,0.10372216999530792,19.110151290893555,4747.18115234375
4000,209587.0,0.09662967175245285,21.93638801574707,4747.18115234375
4050,209587.0,0.0674937292933464,16.2719669342041,4747.51708984375
4100,209587.0,0.08672714978456497,22.545703887939453,4747.51708984375
4150,209587.0,0.07838848233222961,21.630441665649414,4747.51708984375
4200,209587.0,0.09100804477930069,21.812822341918945,4747.51708984375
4250,209587.0,0.12186785042285919,18.644126892089844,4747.51708984375
4300,209587.0,0.08417218178510666,21.991098403930664,4747.51708984375
4350,209587.0,0.07701853662729263,22.72012710571289,4747.51708984375
4400,209587.0,0.061975907534360886,23.58868408203125,4747.51708984375
4450,209587.0,0.0737999975681305,21.442047119140625,4747.51708984375
4500,209587.0,0.02828020229935646,20.661352157592773,4747.51708984375
4550,209587.0,0.09485245496034622,19.41845703125,4747.51708984375
4600,209587.0,0.05399220436811447,23.9334716796875,4747.51708984375
4650,209587.0,0.09734965860843658,19.970592498779297,4747.51708984375
4700,209587.0,0.09080494195222855,20.159873962402344,4747.51708984375
4750,209587.0,0.10463528335094452,17.721729278564453,4747.51708984375
4800,209587.0,0.10095982253551483,19.004058837890625,4747.51708984375
4850,209587.0,0.07160136103630066,23.280548095703125,4747.51708984375
4900,209587.0,0.0853630006313324,20.86937713623047,4747.51708984375
4950,209587.0,0.034518737345933914,21.0302791595459,4747.51708984375
5000,209587.0,0.08848237991333008,20.98228645324707,4747.51708984375
5050,209587.0,0.060781680047512054,18.0325870513916,4747.51708984375
5100,209587.0,0.06985288858413696,23.076732635498047,4747.51708984375
5150,209587.0,0.0689181238412857,22.16410255432129,4747.51708984375
5200,209587.0,0.0910179615020752,20.830978393554688,4747.51708984375
5250,209587.0,0.13126806914806366,15.928223609924316,4747.51708984375
5300,209587.0,0.050647493451833725,18.566564559936523,4747.51708984375
5350,209587.0,0.06081672012805939,22.092857360839844,4747.51708984375
5400,209587.0,0.06771352142095566,21.9742374420166,4747.51708984375
5450,209587.0,0.113739512860775,19.873489379882812,4747.51708984375
5500,209587.0,0.1195843294262886,19.682905197143555,4747.51708984375
5550,209587.0,0.14710143208503723,18.64965057373047,4747.51708984375
5600,209587.0,0.11164357513189316,20.114294052124023,4747.51708984375
5650,209587.0,0.09977252781391144,20.80794334411621,4747.51708984375
5700,209587.0,0.06806200742721558,23.927047729492188,4747.51708984375
5750,209587.0,0.11037633568048477,20.435453414916992,4747.51708984375
5800,209587.0,0.14130346477031708,18.7912540435791,4747.51708984375
5850,209587.0,0.1006615161895752,20.185914993286133,4747.51708984375
5900,209587.0,0.07704494893550873,18.669464111328125,4747.51708984375
5950,209587.0,0.061633870005607605,17.297922134399414,4747.51708984375
6000,209587.0,0.07133562117815018,21.3641357421875,5103.322265625
6050,209587.0,0.07688997685909271,21.028303146362305,5123.83056640625
6100,209587.0,0.08684729039669037,21.48046875,5126.2236328125
6150,209587.0,0.07131030410528183,21.819486618041992,5126.2236328125
6200,209587.0,0.08583202213048935,19.780771255493164,5126.2236328125
6250,209587.0,0.08649300783872604,17.218704223632812,5128.337890625
6300,209587.0,0.08395785838365555,19.73383331298828,5128.337890625
6350,209587.0,0.11728174239397049,19.87557601928711,5128.337890625
6400,209587.0,0.11093796789646149,19.300443649291992,5129.6064453125
6450,209587.0,0.1072750985622406,18.622774124145508,5129.6064453125
6500,209587.0,0.07143913954496384,20.007465362548828,5129.6064453125
6550,209587.0,0.05082348361611366,17.44520378112793,5129.6064453125
6600,209587.0,0.08118052780628204,19.667890548706055,5129.6064453125
6650,209587.0,0.0983634814620018,20.412681579589844,5129.6064453125
6700,209587.0,0.09544165432453156,19.50467872619629,5129.6064453125
6750,209587.0,0.09037245810031891,20.666427612304688,5129.6064453125
6800,209587.0,0.07627884298563004,21.743803024291992,5129.6064453125
6850,209587.0,0.08609966188669205,20.75179672241211,5129.6064453125
6900,209587.0,0.060519374907016754,18.96820068359375,5129.6064453125
6950,209587.0,0.0906195417046547,14.988468170166016,5129.6064453125
7000,209587.0,0.0495760478079319,17.04412841796875,5129.6064453125
7050,209587.0,0.10232510417699814,20.488061904907227,5129.6064453125
7100,209587.0,0.11122329533100128,18.957521438598633,5129.6064453125
7150,209587.0,0.047120146453380585,18.90084457397461,5129.6064453125
7200,209587.0,0.08923947066068649,21.29067039489746,5129.6064453125
7250,209587.0,0.08688005059957504,21.854652404785156,5129.6064453125
7300,209587.0,0.08401436358690262,20.501123428344727,5129.6064453125
7350,209587.0,0.09440173208713531,19.31220054626465,5129.65234375
7400,209587.0,0.07917631417512894,21.074167251586914,5129.65234375
7450,209587.0,0.04738551378250122,20.273147583007812,5129.65234375
7500,209587.0,0.05921700969338417,19.538318634033203,5129.65234375
7550,209587.0,0.08274807780981064,20.897722244262695,5129.65234375
7600,209587.0,0.08532866090536118,16.24530029296875,5129.65234375
7650,209587.0,0.08036351948976517,20.875526428222656,5129.65234375
7700,209587.0,0.06564369052648544,21.654760360717773,5129.65234375
7750,209587.0,0.06179707869887352,24.023332595825195,5129.65234375
7800,209587.0,0.11424081772565842,19.447633743286133,5129.65234375
7850,209587.0,0.06899687647819519,22.85721206665039,5129.65234375
7900,209587.0,0.0607081763446331,22.844697952270508,5129.65234375
7950,209587.0,0.07024931907653809,20.76909637451172,5129.65234375
