step,gaussian_count,loss,psnr,gpu_memory
0,209587.0,0.2155221551656723,13.906949043273926,3523.23583984375
50,209587.0,0.21096386015415192,12.437488555908203,4650.9560546875
100,209587.0,0.21623951196670532,14.774341583251953,4650.9560546875
150,209587.0,0.19944258034229279,15.622649192810059,4650.9560546875
200,209587.0,0.19235476851463318,15.99507999420166,4650.9560546875
250,209587.0,0.10452447831630707,17.161611557006836,4650.9560546875
300,209587.0,0.17843452095985413,15.893548965454102,4650.9560546875
350,209587.0,0.09427554905414581,19.285436630249023,4650.9560546875
400,209587.0,0.11279335618019104,19.461475372314453,4650.9560546875
450,209587.0,0.12873439490795135,18.518230438232422,4650.9560546875
500,209587.0,0.12789486348628998,16.69222640991211,4650.9560546875
550,209587.0,0.10053738206624985,13.627756118774414,4650.9560546875
600,209587.0,0.15181265771389008,17.829248428344727,4650.9560546875
650,307941.0,0.10496378690004349,18.544755935668945,4840.609375
700,307941.0,0.12037346512079239,19.630929946899414,4841.2412109375
750,398446.0,0.11570123583078384,17.262527465820312,5064.48779296875
800,398446.0,0.10479623079299927,19.719499588012695,5064.48779296875
850,513345.0,0.13742998242378235,19.03012466430664,5211.81396484375
900,513345.0,0.11483774334192276,19.605979919433594,5211.81396484375
950,662714.0,0.07660052180290222,20.052263259887695,5406.67138671875
1000,662714.0,0.04922778159379959,17.567276000976562,5406.67138671875
1050,823187.0,0.12839747965335846,18.506818771362305,5625.23681640625
1100,823187.0,0.12406913191080093,19.8507080078125,5625.23681640625
1150,1008011.0,0.1046718880534172,16.74749755859375,5873.60498046875
1200,1008011.0,0.08725231140851974,18.987234115600586,5873.60498046875
1250,1205301.0,0.13114793598651886,16.477922439575195,6150.5791015625
1300,1205301.0,0.0975164994597435,20.738027572631836,6150.5791015625
1350,1413836.0,0.10451404005289078,19.55904197692871,6440.30029296875
1400,1413836.0,0.1678706258535385,17.493003845214844,6440.30029296875
1450,1632494.0,0.16050493717193604,17.270130157470703,6733.482421875
1500,1632494.0,0.1748257428407669,16.463499069213867,6733.482421875
1550,1875171.0,0.1118202656507492,15.713896751403809,7063.69921875
1600,1875171.0,0.14447660744190216,17.662744522094727,7063.69921875
1650,2109833.0,0.16658838093280792,16.861448287963867,7406.3232421875
1700,2109833.0,0.14426589012145996,16.7616024017334,7406.3232421875
1750,2332103.0,0.1689266860485077,17.188003540039062,7722.5546875
1800,2332103.0,0.11674226820468903,16.925025939941406,7722.5546875
1850,2574374.0,0.21054476499557495,13.535120964050293,8045.6767578125
1900,2574374.0,0.17148984968662262,16.02782440185547,8045.6767578125
1950,2816417.0,0.09003771841526031,16.256990432739258,8415.3359375
2000,2816417.0,0.2015199363231659,13.36939811706543,8415.3359375
2050,3043711.0,0.22185108065605164,13.551403999328613,8716.61328125
2100,3043711.0,0.25704362988471985,13.164042472839355,8716.61328125
2150,3265301.0,0.1193322241306305,17.836366653442383,9052.55859375
2200,3265301.0,0.15460950136184692,14.084562301635742,9052.55859375
2250,3493750.0,0.10076259821653366,18.75520133972168,9347.591796875
2300,3493750.0,0.2293587625026703,13.517244338989258,9347.591796875
2350,3736697.0,0.23649565875530243,13.147733688354492,9693.94921875
2400,3736697.0,0.13766242563724518,17.73931312561035,9693.94921875
2450,3993963.0,0.18995292484760284,14.929130554199219,10035.890625
2500,3993963.0,0.1408814787864685,13.342310905456543,10035.890625
2550,4240039.0,0.2112324982881546,14.54030990600586,10419.4912109375
2600,4240039.0,0.22332681715488434,13.603297233581543,10419.4912109375
2650,4465446.0,0.24277372658252716,14.21483039855957,10725.681640625
2700,4465446.0,0.13343805074691772,16.360483169555664,10725.681640625
2750,4702054.0,0.20476998388767242,14.036630630493164,11040.1865234375
2800,4702054.0,0.16870087385177612,15.10917854309082,11040.1865234375
2850,4950945.0,0.20704104006290436,14.896564483642578,11383.93359375
