file_path,psnr_arm_c,psnr_arm_d,pitch_up_component
images/000001_v10.jpg,23.027482927495914,24.262517281280264,0.3519661789150207
images/000007_v14.jpg,16.511927448342444,17.164845060747776,0.20202673579193806
images/000014_v02.jpg,23.122966269966128,23.07884890930839,0.8947855352162907
images/000020_v06.jpg,22.117207168566125,22.19648983364719,-0.8654056026705301
images/000026_v10.jpg,21.494111364160467,21.40217043886732,0.5736499378816108
images/000032_v14.jpg,17.717649520906196,17.41953833615154,-0.2925507313190855
images/000039_v02.jpg,22.728467589061626,23.080113972614257,0.6624577006186144
images/000045_v06.jpg,24.479383776847946,25.478125422200655,-0.8209670142102699
images/000051_v10.jpg,21.423194711199667,22.527067970486087,-0.5597049973216791
images/000057_v14.jpg,15.566842261413807,15.440905299559976,-0.6092068231301859
images/000064_v02.jpg,21.444272991886333,22.166222499355584,0.518972109923537
images/000070_v06.jpg,21.935011407505705,22.85352042612284,0.9359071120823114
images/000076_v11.jpg,17.413818506494316,19.900500571047147,0.30067723467089785
images/000082_v15.jpg,17.788869402465664,18.0355082958226,0.6386635526933191
images/000089_v03.jpg,21.843169678308684,22.56039405711641,0.1674842294241858
images/000095_v07.jpg,23.66536945004462,24.309657704068194,-0.6737574070376603
images/000101_v11.jpg,21.886948876056085,22.46708194446292,-0.5183808781091396
images/000107_v15.jpg,16.829568702645098,16.640350165583136,-0.454738219351156
images/000114_v03.jpg,22.84862896092789,23.878721217913252,0.5443757904243897
images/000120_v07.jpg,21.875861977982765,22.668128726881235,-0.987553220166588
images/000126_v11.jpg,19.835238720729933,21.509005745637367,-0.591598921877109
images/000132_v15.jpg,17.126205018796334,17.42871123775989,0.5180110993070226
images/000139_v03.jpg,22.663279341530533,23.60065296938282,0.15200668238081627
images/000145_v07.jpg,22.140616545971717,22.31678321800544,0.7547963927299572
images/000151_v12.jpg,23.314430331639816,23.894233484159393,0.5919799557523137
images/000158_v00.jpg,22.94663419208095,23.812417433732882,0.7567931206411155
images/000164_v04.jpg,21.320730601031684,22.01940949486744,-0.62851581345218
images/000170_v08.jpg,19.198290391817597,22.269137205980233,0.5005540919246995
images/000176_v12.jpg,21.97918168205952,22.52836532808907,-0.5873085062306643
images/000183_v00.jpg,23.628218682694744,24.601427074884672,-0.22146368332565983
images/000189_v04.jpg,20.38746764998629,20.371102618342256,-0.6528135258709491
images/000195_v08.jpg,21.952562602892563,22.64134395089495,0.5865338466879524
images/000201_v12.jpg,22.99190548026256,23.510580681965067,0.5497474678381111
images/000208_v00.jpg,22.945790661143967,23.910684973543365,-0.4855905381118833
images/000214_v04.jpg,21.01948033019902,21.276559379422316,0.8512213699940455
images/000220_v08.jpg,23.108524119856497,23.923279330577508,-0.5850861724380766
images/000226_v13.jpg,17.242941379618024,16.94873290671707,0.5880660735960378
images/000233_v01.jpg,22.772021646457972,23.14835801722996,0.9953206403767363
images/000239_v05.jpg,20.823034201710527,21.26363423308042,-0.07645279854391286
images/000245_v09.jpg,20.697440502934867,20.844851911562856,-0.607699366504286
images/000251_v13.jpg,18.28293335760703,18.46894505477408,-0.4798244421534802
images/000258_v01.jpg,23.956003330250955,24.388602897950868,0.9785370911648071
images/000264_v05.jpg,22.95786647153987,24.445889575276997,-0.8093403301363157
images/000270_v09.jpg,21.302375006922226,23.676252100180747,0.5914210096615483
images/000276_v13.jpg,21.908180356869096,21.954459950193247,-0.6701359884104788
images/000283_v01.jpg,22.87967673372398,23.774240200105762,0.9120037936997031
images/000289_v05.jpg,19.735468088286268,20.655119434253457,-0.9479427390724359
images/000295_v09.jpg,18.752556913523023,20.287960681650496,-0.2586966347094574
images/000301_v14.jpg,17.149833560107133,17.219224358542423,0.463769554179708
images/000308_v02.jpg,21.336332402330388,22.084549340306722,0.5398317556692481
images/000314_v06.jpg,18.970946431356143,20.64115518726186,0.5843879076359413
images/000320_v10.jpg,21.286185367561096,21.994501650247855,0.5366201750536624
images/000326_v14.jpg,19.09654694763049,19.2665537603168,-0.3464579947435069
images/000333_v02.jpg,22.713592893489675,23.77007871123017,0.5930131906314396
images/000339_v06.jpg,24.75922039919095,25.67927082072635,-0.003451282112993896
images/000345_v10.jpg,20.48928559389973,22.341405919256236,0.6001248064816499
images/000351_v14.jpg,17.86555030716003,17.877677647595984,0.4753350155876191
images/000358_v02.jpg,21.39448884833936,22.691501367059608,-0.8286892259817172
images/000364_v06.jpg,21.11416676021708,22.746470501047927,0.7334408052059844
images/000370_v10.jpg,19.444828718976325,19.829425571155113,0.5479270702096457
images/000376_v14.jpg,17.16748103813135,17.169458654202955,-0.2645784477467303
