bin_start,bin_end,mean_train_loss,std_train_loss,mean_train_psnr,std_train_psnr,n_samples
0,1000,0.1321297748014331,0.04227020373811072,16.870720958709718,2.300811915651028,20
1000,2000,0.10044947266578674,0.025573561809071207,19.466049575805663,1.3405269020979962,20
2000,3000,0.08254425767809152,0.021294920925018026,20.830467224121094,1.7467750485648368,20
3000,4000,0.08521427474915981,0.0164380861127599,20.557128715515137,1.9820707455171618,20
4000,5000,0.08018184304237366,0.014473798673859494,20.407662296295165,2.0735714344606118,20
5000,6000,0.10224341824650765,0.0171708013909591,19.20932102203369,2.2575444001549214,20
6000,7000,0.0904174119234085,0.02174139438691345,19.21005711555481,1.6506058500396756,20
7000,8000,0.0883713474497199,0.01933083901718399,19.621669960021972,1.527576327714886,20
8000,9000,0.08298818226903677,0.023748049940847216,20.18750982284546,1.7263883739823267,20
9000,10000,0.0811554692685604,0.023927913554628946,20.12359709739685,1.7569497667841782,20
10000,11000,0.0689806129783392,0.015206953307639454,20.64501848220825,1.8374443151879658,20
11000,12000,0.0694277523085475,0.016271759717785717,21.452818870544434,2.281609090162717,20
12000,13000,0.06596478503197431,0.01833538460949242,21.418375968933105,2.330989064086682,20
13000,14000,0.061031151376664636,0.01778079746598065,20.86542901992798,2.063909886075898,20
14000,15000,0.06174902096390724,0.01963753972246069,21.474723911285402,2.5517654911180054,20
15000,16000,0.05810741819441319,0.012815762758464104,23.130154514312743,2.0378600159778975,20
