step,means_lr,pct_of_30k_schedule,camera_opt_lr_inert,bilateral_grid_lr
0,0.00016,0.0,0.0,0.0
6000,6.369714728855948e-05,20.0,4.011166507982567e-05,0.0011932033916706038
11000,2.956559675875669e-05,36.7,1.6089456754761042e-05,0.0007118671669471166
14000,1.86546304188773e-05,46.7,9.300446418382821e-06,0.0005221672777914185
16000,1.3723134377454309e-05,53.3,6.4537490066331315e-06,0.000424701159010122
20000,7.426542133780445e-06,66.7,3.1076251213518715e-06,0.00028095129159799796
24000,4.019018290415326e-06,80.0,1.496391304485425e-06,0.00018585687035693266
30000,1.5999999999999995e-06,100.0,5.000000000000002e-07,0.00010000000000000009
